#IMAGE_ID, QW, QX, QY, QZ, TX, TY, TZ, CAMERA_ID
0.000 1.000 0.005 -0.012 -0.022 -5.846 0.295 -0.009 1.000
1.000 1.000 0.005 -0.012 -0.023 -5.846 0.297 -0.014 1.000
9.000 1.000 0.005 -0.014 -0.024 -5.844 0.311 -0.033 1.000
10.000 1.000 0.005 -0.014 -0.023 -5.842 0.307 -0.028 1.000
194.000 1.000 -0.007 0.011 -0.016 -4.177 0.178 0.288 1.000
997.000 0.996 0.023 -0.087 0.014 5.193 0.031 0.369 1.000
1043.000 0.995 0.005 -0.098 0.017 5.752 0.049 0.477 1.000
11.000 1.000 0.006 -0.013 -0.023 -5.839 0.298 -0.024 1.000
12.000 1.000 0.005 -0.013 -0.022 -5.836 0.291 -0.023 1.000
13.000 1.000 0.004 -0.012 -0.021 -5.832 0.274 -0.014 1.000
14.000 1.000 0.002 -0.011 -0.017 -5.828 0.230 0.002 1.000
15.000 1.000 0.001 -0.008 -0.014 -5.823 0.192 0.032 1.000
522.000 1.000 -0.006 -0.018 0.001 -0.428 0.025 0.098 1.000
16.000 1.000 0.001 -0.008 -0.012 -5.817 0.169 0.037 1.000
549.000 1.000 -0.007 -0.025 -0.000 -0.108 0.020 0.089 1.000
17.000 1.000 0.002 -0.007 -0.010 -5.811 0.147 0.046 1.000
1019.000 0.995 0.015 -0.100 0.024 5.452 0.136 0.496 1.000
18.000 1.000 0.002 -0.007 -0.008 -5.805 0.119 0.045 1.000
19.000 1.000 -0.001 -0.007 -0.007 -5.799 0.114 0.048 1.000
20.000 1.000 -0.001 -0.006 -0.007 -5.792 0.110 0.053 1.000
595.000 1.000 -0.010 -0.026 0.006 0.434 0.014 0.086 1.000
707.000 0.999 -0.010 -0.045 0.005 1.770 -0.004 0.106 1.000
815.000 0.998 0.000 -0.058 0.012 3.029 0.028 0.139 1.000
21.000 1.000 -0.000 -0.006 -0.007 -5.786 0.106 0.054 1.000
47.000 1.000 0.008 0.018 -0.005 -5.584 0.076 0.329 1.000
22.000 1.000 -0.002 -0.006 -0.006 -5.779 0.093 0.059 1.000
23.000 1.000 -0.003 -0.003 -0.005 -5.771 0.084 0.086 1.000
24.000 1.000 0.001 -0.003 -0.004 -5.765 0.071 0.093 1.000
25.000 1.000 0.001 -0.003 -0.003 -5.759 0.062 0.096 1.000
26.000 1.000 0.000 -0.002 -0.000 -5.752 0.029 0.104 1.000
27.000 1.000 0.001 -0.000 0.003 -5.744 -0.003 0.125 1.000
147.000 0.999 -0.004 0.031 -0.007 -4.683 0.107 0.469 1.000
28.000 1.000 0.002 0.001 0.004 -5.736 -0.024 0.138 1.000
