#FRAME_ID, X, Y, Z
0.000 5.852 -0.038 -0.130
1.000 5.852 -0.028 -0.125
9.000 5.851 -0.031 -0.129
10.000 5.848 -0.039 -0.134
194.000 4.186 -0.041 -0.198
997.000 -5.177 0.119 0.535
1043.000 -5.733 0.148 0.654
11.000 5.845 -0.030 -0.126
12.000 5.842 -0.035 -0.127
13.000 5.837 -0.029 -0.125
14.000 5.831 -0.032 -0.130
15.000 5.825 -0.029 -0.125
522.000 0.424 -0.025 -0.114
16.000 5.818 -0.030 -0.130
549.000 0.103 -0.019 -0.095
17.000 5.812 -0.031 -0.127
1019.000 -5.442 0.128 0.599
18.000 5.805 -0.026 -0.126
19.000 5.799 -0.033 -0.129
20.000 5.792 -0.029 -0.123
595.000 -0.438 -0.007 -0.064
707.000 -1.772 0.022 0.054
815.000 -3.025 0.045 0.213
21.000 5.786 -0.025 -0.123
47.000 5.593 -0.024 -0.127
22.000 5.779 -0.023 -0.129
23.000 5.771 -0.026 -0.121
24.000 5.765 -0.025 -0.127
25.000 5.759 -0.028 -0.130
26.000 5.752 -0.029 -0.127
27.000 5.744 -0.032 -0.125
147.000 4.704 -0.039 -0.178
28.000 5.736 -0.022 -0.127
512.000 0.545 -0.024 -0.118
29.000 5.729 -0.021 -0.121
30.000 5.722 -0.024 -0.121
467.000 1.088 -0.034 -0.143
492.000 0.786 -0.027 -0.129
31.000 5.714 -0.026 -0.130
361.000 2.334 -0.063 -0.162
718.000 -1.904 0.023 0.065
1094.000 -6.359 0.170 0.778
32.000 5.707 -0.028 -0.131
292.000 3.106 -0.057 -0.176
33.000 5.700 -0.030 -0.131
822.000 -3.108 0.044 0.224
34.000 5.691 -0.022 -0.124
35.000 5.684 -0.029 -0.129
87.000 5.312 -0.033 -0.145
36.000 5.677 -0.031 -0.124
677.000 -1.414 0.014 0.017
37.000 5.669 -0.024 -0.127
89.000 5.297 -0.029 -0.147
38.000 5.661 -0.024 -0.122
39.000 5.654 -0.032 -0.124
40.000 5.646 -0.027 -0.124
41.000 5.638 -0.022 -0.127
217.000 3.931 -0.048 -0.197
42.000 5.630 -0.030 -0.128
860.000 -3.563 0.057 0.278
43.000 5.623 -0.027 -0.131
44.000 5.615 -0.030 -0.135
45.000 5.607 -0.030 -0.132
58.000 5.507 -0.027 -0.128
377.000 2.155 -0.059 -0.159
46.000 5.599 -0.025 -0.130
48.000 5.586 -0.032 -0.127
823.000 -3.120 0.041 0.222
49.000 5.579 -0.027 -0.135
840.000 -3.325 0.053 0.250
922.000 -4.298 0.089 0.396
980.000 -4.975 0.110 0.502
50.000 5.570 -0.032 -0.127
51.000 5.562 -0.027 -0.133
52.000 5.554 -0.034 -0.130
683.000 -1.486 0.017 0.025
53.000 5.547 -0.026 -0.135
105.000 5.153 -0.031 -0.154
54.000 5.539 -0.031 -0.136
55.000 5.531 -0.032 -0.130
56.000 5.523 -0.033 -0.133
695.000 -1.629 0.020 0.037
57.000 5.515 -0.032 -0.130
59.000 5.500 -0.028 -0.132
919.000 -4.263 0.092 0.386
60.000 5.492 -0.030 -0.131
1025.000 -5.516 0.138 0.609
61.000 5.484 -0.033 -0.130
62.000 5.478 -0.026 -0.130
63.000 5.472 -0.032 -0.136
64.000 5.467 -0.025 -0.140
65.000 5.462 -0.032 -0.133
1044.000 -5.744 0.150 0.663
66.000 5.455 -0.028 -0.139
396.000 1.937 -0.055 -0.154
67.000 5.449 -0.035 -0.132
696.000 -1.641 0.018 0.040
858.000 -3.539 0.056 0.279
68.000 5.442 -0.030 -0.139
120.000 5.001 -0.036 -0.165
69.000 5.436 -0.029 -0.136
70.000 5.430 -0.026 -0.135
71.000 5.424 -0.034 -0.133
72.000 5.416 -0.036 -0.134
641.000 -0.985 0.005 -0.024
73.000 5.410 -0.027 -0.136
74.000 5.403 -0.026 -0.143
75.000 5.396 -0.027 -0.144
259.000 3.472 -0.059 -0.191
76.000 5.390 -0.027 -0.140
77.000 5.383 -0.030 -0.143
78.000 5.376 -0.033 -0.137
180.000 4.339 -0.039 -0.199
413.000 1.733 -0.046 -0.153
495.000 0.750 -0.027 -0.129
79.000 5.370 -0.030 -0.143
181.000 4.330 -0.039 -0.192
80.000 5.362 -0.032 -0.137
81.000 5.356 -0.036 -0.140
82.000 5.349 -0.032 -0.143
694.000 -1.617 0.018 0.038
931.000 -4.405 0.093 0.414
1069.000 -6.052 0.156 0.710
83.000 5.342 -0.028 -0.139
135.000 4.835 -0.038 -0.177
84.000 5.334 -0.035 -0.145
85.000 5.327 -0.033 -0.145
818.000 -3.060 0.040 0.219
86.000 5.320 -0.033 -0.143
88.000 5.305 -0.036 -0.142
208.000 4.030 -0.049 -0.197
90.000 5.289 -0.036 -0.147
306.000 2.946 -0.056 -0.171
91.000 5.281 -0.035 -0.147
92.000 5.272 -0.034 -0.145
93.000 5.263 -0.037 -0.146
119.000 5.011 -0.035 -0.162
94.000 5.254 -0.033 -0.152
462.000 1.148 -0.032 -0.145
95.000 5.245 -0.034 -0.154
96.000 5.237 -0.038 -0.151
97.000 5.228 -0.034 -0.151
98.000 5.218 -0.035 -0.153
99.000 5.209 -0.039 -0.156
309.000 2.913 -0.055 -0.168
429.000 1.542 -0.043 -0.147
708.000 -1.785 0.022 0.055
100.000 5.201 -0.035 -0.149
152.000 4.648 -0.038 -0.183
101.000 5.191 -0.038 -0.148
762.000 -2.412 0.028 0.127
102.000 5.181 -0.034 -0.154
103.000 5.172 -0.032 -0.153
970.000 -4.858 0.109 0.485
104.000 5.164 -0.030 -0.152
160.000 4.562 -0.038 -0.185
106.000 5.144 -0.037 -0.158
290.000 3.129 -0.060 -0.179
107.000 5.134 -0.039 -0.161
981.000 -4.986 0.109 0.508
108.000 5.125 -0.035 -0.157
109.000 5.115 -0.036 -0.152
110.000 5.105 -0.040 -0.156
111.000 5.094 -0.039 -0.163
851.000 -3.455 0.058 0.268
112.000 5.084 -0.032 -0.158
439.000 1.423 -0.040 -0.148
113.000 5.074 -0.031 -0.157
114.000 5.064 -0.036 -0.156
115.000 5.053 -0.039 -0.156
116.000 5.043 -0.034 -0.158
705.000 -1.749 0.022 0.051
6.000 5.852 -0.030 -0.126
117.000 5.032 -0.038 -0.158
118.000 5.021 -0.037 -0.162
497.000 0.726 -0.027 -0.127
121.000 4.989 -0.038 -0.162
241.000 3.669 -0.053 -0.191
988.000 -5.070 0.107 0.518
122.000 4.979 -0.039 -0.161
242.000 3.658 -0.055 -0.191
123.000 4.968 -0.033 -0.165
704.000 -1.738 0.019 0.050
124.000 4.957 -0.041 -0.168
125.000 4.946 -0.035 -0.167
126.000 4.935 -0.037 -0.171
127.000 4.925 -0.041 -0.166
128.000 4.913 -0.037 -0.170
129.000 4.903 -0.036 -0.168
808.000 -2.941 0.042 0.200
130.000 4.892 -0.035 -0.167
131.000 4.880 -0.039 -0.171
132.000 4.869 -0.033 -0.168
133.000 4.858 -0.037 -0.173
978.000 -4.952 0.107 0.494
134.000 4.847 -0.041 -0.171
136.000 4.824 -0.037 -0.177
137.000 4.813 -0.037 -0.174
138.000 4.802 -0.039 -0.171
139.000 4.790 -0.034 -0.177
140.000 4.779 -0.032 -0.174
368.000 2.256 -0.060 -0.164
141.000 4.769 -0.039 -0.175
167.000 4.485 -0.038 -0.189
142.000 4.759 -0.036 -0.178
270.000 3.350 -0.054 -0.183
684.000 -1.497 0.016 0.026
143.000 4.749 -0.034 -0.179
144.000 4.738 -0.038 -0.180
145.000 4.726 -0.037 -0.177
146.000 4.715 -0.034 -0.177
197.000 4.152 -0.044 -0.195
198.000 4.142 -0.048 -0.195
249.000 3.581 -0.051 -0.193
688.000 -1.545 0.017 0.030
148.000 4.693 -0.043 -0.181
200.000 4.119 -0.041 -0.198
149.000 4.682 -0.042 -0.180
150.000 4.670 -0.042 -0.180
151.000 4.660 -0.041 -0.178
153.000 4.638 -0.034 -0.185
154.000 4.628 -0.034 -0.180
155.000 4.617 -0.039 -0.183
156.000 4.607 -0.044 -0.180
157.000 4.595 -0.039 -0.182
209.000 4.018 -0.044 -0.202
158.000 4.584 -0.037 -0.187
350.000 2.453 -0.060 -0.168
159.000 4.573 -0.039 -0.184
741.000 -2.171 0.026 0.092
161.000 4.551 -0.041 -0.191
162.000 4.540 -0.041 -0.183
410.000 1.768 -0.051 -0.152
163.000 4.528 -0.044 -0.186
232.000 3.767 -0.047 -0.194
164.000 4.518 -0.043 -0.186
165.000 4.507 -0.043 -0.191
607.000 -0.581 -0.005 -0.055
166.000 4.497 -0.044 -0.189
454.000 1.245 -0.037 -0.148
168.000 4.474 -0.042 -0.187
768.000 -2.478 0.032 0.139
1033.000 -5.613 0.143 0.635
169.000 4.462 -0.037 -0.195
225.000 3.844 -0.051 -0.196
170.000 4.453 -0.043 -0.191
171.000 4.441 -0.040 -0.189
172.000 4.430 -0.040 -0.192
1066.000 -6.015 0.154 0.708
173.000 4.419 -0.041 -0.192
174.000 4.407 -0.045 -0.193
366.000 2.279 -0.059 -0.162
175.000 4.397 -0.040 -0.192
925.000 -4.333 0.093 0.399
176.000 4.386 -0.045 -0.195
177.000 4.375 -0.043 -0.192
