#IMAGE_ID, QW, QX, QY, QZ, TX, TY, TZ, CAMERA_ID
1.000 0.984 -0.067 0.162 -0.038 5.714 -0.417 -2.113 1.000
103.000 0.995 -0.068 -0.068 -0.026 1.793 -0.034 -0.391 2.000
2.000 0.991 -0.054 0.121 -0.031 5.833 -0.283 -1.641 1.000
3.000 0.992 -0.048 0.118 0.001 5.529 0.112 -1.634 1.000
4.000 0.994 -0.038 0.106 0.003 5.540 0.160 -1.497 1.000
188.000 0.984 -0.036 -0.172 -0.019 -1.804 -0.024 -0.516 2.000
5.000 0.995 -0.025 0.099 0.006 5.512 0.215 -1.425 1.000
6.000 0.995 -0.041 0.087 -0.003 5.503 0.090 -1.295 1.000
7.000 0.994 -0.056 0.097 -0.008 5.432 -0.003 -1.408 1.000
8.000 0.992 -0.056 0.110 0.001 5.349 0.095 -1.558 1.000
9.000 0.995 -0.054 0.078 0.005 5.393 0.153 -1.213 1.000
10.000 0.996 -0.048 0.070 0.001 5.376 0.125 -1.132 1.000
11.000 0.996 -0.044 0.079 -0.004 5.331 0.073 -1.227 1.000
12.000 0.996 -0.049 0.070 -0.015 5.313 -0.044 -1.122 1.000
283.000 0.906 -0.049 -0.417 -0.050 -5.241 0.142 -2.722 2.000
13.000 0.998 -0.051 0.047 -0.014 5.316 -0.030 -0.880 1.000
14.000 0.997 -0.042 0.066 -0.011 5.236 0.007 -1.087 1.000
40.000 0.999 -0.018 0.027 -0.023 4.270 -0.047 -0.760 2.000
15.000 0.997 -0.041 0.071 -0.008 5.186 0.038 -1.131 1.000
41.000 0.999 -0.006 0.048 -0.022 4.191 -0.024 -0.941 2.000
16.000 0.997 -0.046 0.055 -0.004 5.175 0.076 -0.973 1.000
17.000 0.997 -0.051 0.054 -0.008 5.145 0.029 -0.958 1.000
18.000 0.998 -0.055 0.041 -0.012 5.142 -0.008 -0.828 1.000
60.000 0.998 -0.048 0.032 -0.032 3.439 -0.134 -0.833 2.000
19.000 0.989 -0.048 0.135 -0.030 5.752 -0.262 -1.803 2.000
227.000 0.966 -0.032 -0.253 -0.043 -3.453 0.098 -0.923 2.000
20.000 0.988 -0.049 0.144 -0.030 5.693 -0.269 -1.908 2.000
21.000 0.990 -0.057 0.127 0.000 5.533 0.076 -1.736 2.000
141.000 0.993 -0.038 -0.112 -0.023 0.196 0.022 -0.392 2.000
22.000 0.992 -0.064 0.107 -0.003 5.643 0.036 -1.512 2.000
23.000 0.990 -0.054 0.132 -0.011 5.608 -0.048 -1.786 2.000
24.000 0.989 -0.049 0.136 -0.024 5.682 -0.188 -1.816 2.000
126.000 0.991 -0.052 -0.119 -0.016 0.857 0.017 -0.330 2.000
25.000 0.997 -0.067 0.035 -0.016 4.877 -0.056 -0.797 2.000
127.000 0.993 -0.053 -0.103 -0.011 0.798 0.021 -0.360 2.000
26.000 0.996 -0.065 0.068 -0.004 4.773 0.037 -1.120 2.000
286.000 0.900 -0.048 -0.432 -0.045 -5.263 0.078 -2.917 2.000
27.000 0.996 -0.052 0.078 -0.002 4.708 0.078 -1.213 2.000
163.000 0.992 -0.048 -0.108 -0.040 -0.763 0.030 -0.388 2.000
219.000 0.963 -0.045 -0.261 -0.052 -3.087 0.142 -0.979 2.000
28.000 0.998 -0.036 0.048 0.004 4.727 0.172 -0.931 2.000
29.000 0.997 -0.032 0.065 0.007 4.650 0.193 -1.091 2.000
81.000 0.999 -0.048 0.000 -0.019 2.626 -0.015 -0.654 2.000
