#IMAGE_ID, X, Y, Z
1.000 -6.101 -0.196 0.183
103.000 -1.721 -0.127 0.625
2.000 -6.060 -0.189 0.194
3.000 -5.757 -0.193 0.277
4.000 -5.731 -0.194 0.282
188.000 1.871 0.081 -0.123
5.000 -5.686 -0.191 0.301
6.000 -5.642 -0.190 0.309
7.000 -5.599 -0.183 0.321
8.000 -5.559 -0.191 0.332
9.000 -5.516 -0.182 0.340
10.000 -5.481 -0.186 0.354
11.000 -5.456 -0.186 0.360
12.000 -5.415 -0.191 0.361
283.000 5.469 0.420 -2.193
13.000 -5.373 -0.184 0.369
14.000 -5.331 -0.185 0.379
40.000 -4.302 -0.174 0.526
15.000 -5.292 -0.184 0.376
41.000 -4.259 -0.171 0.534
16.000 -5.249 -0.181 0.386
17.000 -5.216 -0.181 0.386
18.000 -5.190 -0.184 0.394
60.000 -3.485 -0.157 0.610
19.000 -6.027 -0.192 0.198
227.000 3.458 0.208 -0.883
20.000 -6.004 -0.191 0.207
21.000 -5.790 -0.191 0.268
141.000 -0.102 -0.060 0.422
22.000 -5.833 -0.185 0.260
23.000 -5.877 -0.190 0.247
24.000 -5.961 -0.195 0.215
126.000 -0.753 -0.087 0.518
25.000 -4.919 -0.185 0.444
127.000 -0.707 -0.084 0.510
26.000 -4.879 -0.178 0.447
286.000 5.561 0.428 -2.260
27.000 -4.838 -0.184 0.452
163.000 0.829 0.005 0.213
219.000 3.157 0.183 -0.711
28.000 -4.795 -0.184 0.460
29.000 -4.754 -0.177 0.466
81.000 -2.623 -0.147 0.648
30.000 -4.709 -0.181 0.475
78.000 -2.751 -0.150 0.645
31.000 -4.672 -0.180 0.474
83.000 -2.551 -0.144 0.648
32.000 -4.644 -0.177 0.477
33.000 -4.598 -0.175 0.488
34.000 -4.552 -0.177 0.487
35.000 -4.505 -0.170 0.502
211.000 2.827 0.153 -0.542
36.000 -4.459 -0.181 0.506
58.000 -3.548 -0.158 0.608
37.000 -4.411 -0.175 0.505
229.000 3.526 0.219 -0.922
38.000 -4.375 -0.172 0.509
39.000 -4.347 -0.181 0.519
52.000 -3.811 -0.166 0.593
42.000 -4.215 -0.176 0.535
43.000 -4.170 -0.169 0.543
56.000 -3.643 -0.166 0.607
44.000 -4.128 -0.173 0.550
45.000 -4.093 -0.170 0.563
46.000 -4.066 -0.168 0.560
47.000 -4.023 -0.169 0.575
99.000 -1.879 -0.130 0.639
48.000 -3.980 -0.172 0.580
49.000 -3.935 -0.172 0.589
199.000 2.341 0.111 -0.317
50.000 -3.892 -0.167 0.592
51.000 -3.847 -0.168 0.595
53.000 -3.783 -0.163 0.601
54.000 -3.736 -0.169 0.602
55.000 -3.689 -0.162 0.605
57.000 -3.596 -0.167 0.607
59.000 -3.511 -0.162 0.611
61.000 -3.435 -0.160 0.610
62.000 -3.389 -0.159 0.617
114.000 -1.249 -0.110 0.578
63.000 -3.343 -0.163 0.617
64.000 -3.294 -0.159 0.625
65.000 -3.277 -0.159 0.624
66.000 -3.233 -0.158 0.625
108.000 -1.507 -0.120 0.605
67.000 -3.185 -0.162 0.626
68.000 -3.138 -0.160 0.631
90.000 -2.257 -0.138 0.648
69.000 -3.092 -0.157 0.632
253.000 4.409 0.302 -1.408
70.000 -3.042 -0.151 0.633
214.000 2.952 0.166 -0.606
71.000 -3.022 -0.156 0.640
72.000 -2.977 -0.155 0.639
174.000 1.286 0.032 0.085
73.000 -2.950 -0.159 0.638
175.000 1.329 0.034 0.069
273.000 5.104 0.383 -1.911
74.000 -2.912 -0.153 0.642
75.000 -2.887 -0.151 0.641
115.000 -1.212 -0.107 0.574
235.000 3.757 0.238 -1.048
76.000 -2.842 -0.156 0.640
77.000 -2.796 -0.150 0.642
129.000 -0.623 -0.083 0.496
262.000 4.720 0.329 -1.620
79.000 -2.706 -0.150 0.645
80.000 -2.660 -0.146 0.645
82.000 -2.597 -0.147 0.648
202.000 2.451 0.120 -0.363
84.000 -2.507 -0.143 0.648
300.000 -5.063 -0.180 0.419
85.000 -2.461 -0.146 0.649
208.000 2.696 0.143 -0.479
86.000 -2.415 -0.142 0.646
112.000 -1.337 -0.112 0.584
87.000 -2.378 -0.146 0.647
113.000 -1.293 -0.111 0.582
193.000 2.088 0.092 -0.206
88.000 -2.351 -0.147 0.647
89.000 -2.304 -0.142 0.646
91.000 -2.210 -0.141 0.650
92.000 -2.163 -0.134 0.648
93.000 -2.122 -0.135 0.649
269.000 4.971 0.366 -1.812
94.000 -2.089 -0.135 0.648
146.000 0.062 -0.050 0.398
95.000 -2.060 -0.133 0.651
111.000 -1.386 -0.113 0.589
288.000 5.637 0.444 -2.312
96.000 -2.015 -0.133 0.651
240.000 3.931 0.259 -1.143
97.000 -1.968 -0.134 0.649
98.000 -1.923 -0.128 0.643
122.000 -0.919 -0.092 0.540
154.000 0.427 -0.026 0.317
100.000 -1.833 -0.128 0.635
132.000 -0.493 -0.074 0.480
284.000 5.501 0.424 -2.209
101.000 -1.797 -0.127 0.632
102.000 -1.767 -0.126 0.632
104.000 -1.676 -0.123 0.621
105.000 -1.633 -0.123 0.617
106.000 -1.588 -0.122 0.610
107.000 -1.543 -0.118 0.608
109.000 -1.478 -0.120 0.599
110.000 -1.431 -0.113 0.594
162.000 0.783 0.001 0.224
116.000 -1.183 -0.104 0.574
236.000 3.776 0.241 -1.053
117.000 -1.143 -0.104 0.568
149.000 0.210 -0.039 0.370
118.000 -1.099 -0.102 0.564
258.000 4.576 0.323 -1.508
119.000 -1.052 -0.101 0.562
171.000 1.181 0.026 0.117
120.000 -1.004 -0.100 0.554
121.000 -0.953 -0.096 0.547
123.000 -0.891 -0.093 0.536
124.000 -0.845 -0.091 0.529
172.000 1.215 0.027 0.108
125.000 -0.801 -0.088 0.526
128.000 -0.660 -0.085 0.502
130.000 -0.594 -0.079 0.492
131.000 -0.543 -0.075 0.487
252.000 4.371 0.297 -1.384
133.000 -0.448 -0.069 0.474
134.000 -0.400 -0.070 0.465
135.000 -0.352 -0.069 0.458
