#IMAGE_ID, QW, QX, QY, QZ, TX, TY, TZ, CAMERA_ID
87.000 0.999 0.041 -0.004 -0.001 -5.566 0.029 0.217 1.000
3.000 0.996 0.045 -0.074 0.015 5.522 0.115 0.233 1.000
8.000 0.997 0.039 -0.070 0.017 4.854 0.109 0.169 1.000
4.000 0.995 0.056 -0.084 0.016 5.427 0.120 0.340 1.000
28.000 0.995 0.058 -0.080 0.020 2.309 0.072 0.229 1.000
9.000 0.994 0.041 -0.095 0.023 4.687 0.152 0.411 1.000
6.000 0.994 0.052 -0.098 0.012 5.120 0.059 0.463 1.000
5.000 0.994 0.068 -0.088 0.018 5.275 0.120 0.372 1.000
7.000 0.996 0.038 -0.086 0.009 4.985 0.023 0.331 1.000
10.000 0.994 0.047 -0.100 0.019 4.566 0.102 0.449 1.000
11.000 0.995 0.049 -0.091 0.013 4.491 0.048 0.355 1.000
63.000 0.999 0.044 -0.011 0.001 -2.447 0.010 0.153 1.000
12.000 0.994 0.044 -0.099 0.003 4.348 -0.032 0.419 1.000
13.000 0.992 0.041 -0.119 0.006 4.190 -0.020 0.590 1.000
72.000 0.999 0.036 -0.012 -0.008 -3.623 0.082 0.142 1.000
14.000 0.994 0.051 -0.097 0.006 4.074 -0.007 0.406 1.000
40.000 0.994 0.072 -0.077 -0.010 0.667 -0.017 0.134 1.000
73.000 0.999 0.021 -0.025 -0.004 -3.717 0.066 0.050 1.000
15.000 0.994 0.052 -0.091 0.009 3.950 0.023 0.359 1.000
41.000 0.995 0.085 -0.053 -0.011 0.525 -0.025 0.083 1.000
85.000 0.999 0.048 -0.021 -0.001 -5.300 0.035 0.035 1.000
16.000 0.994 0.047 -0.102 0.014 3.800 0.051 0.453 1.000
17.000 0.994 0.042 -0.102 0.011 3.689 0.028 0.446 1.000
66.000 0.998 0.058 -0.004 0.004 -2.802 -0.014 0.186 1.000
34.000 0.995 0.055 -0.078 0.007 1.506 0.005 0.189 1.000
92.000 0.996 0.055 -0.074 -0.022 -6.219 0.330 -0.661 1.000
18.000 0.993 0.037 -0.113 0.009 3.593 0.015 0.521 1.000
60.000 0.998 0.045 -0.029 -0.020 -1.992 0.088 0.062 1.000
35.000 0.996 0.068 -0.062 0.007 1.356 0.008 0.129 1.000
19.000 0.992 0.033 -0.123 0.006 3.440 -0.005 0.577 1.000
20.000 0.994 0.035 -0.105 0.008 3.319 0.005 0.441 1.000
21.000 0.994 0.033 -0.101 0.002 3.180 -0.020 0.405 1.000
38.000 0.996 0.059 -0.068 -0.002 0.918 -0.003 0.136 1.000
70.000 0.999 0.051 -0.018 0.008 -3.424 -0.040 0.104 1.000
22.000 0.993 0.038 -0.108 -0.007 3.024 -0.084 0.433 1.000
39.000 0.996 0.062 -0.060 -0.012 0.829 -0.012 0.119 1.000
52.000 0.997 0.055 -0.062 0.000 -0.937 0.004 -0.028 1.000
23.000 0.995 0.040 -0.092 -0.011 2.901 -0.094 0.320 1.000
24.000 0.995 0.032 -0.097 -0.002 2.791 -0.039 0.341 1.000
