#IMAGE_ID, X, Y, Z
87.000 5.564 -0.037 -0.259
3.000 -5.496 0.067 0.588
8.000 -4.831 0.070 0.513
4.000 -5.408 0.068 0.578
28.000 -2.317 0.016 0.146
9.000 -4.682 0.068 0.488
6.000 -5.112 0.069 0.545
5.000 -5.259 0.084 0.563
7.000 -4.968 0.074 0.526
10.000 -4.564 0.074 0.471
11.000 -4.481 0.075 0.464
63.000 2.443 -0.031 -0.205
12.000 -4.345 0.059 0.443
13.000 -4.211 0.064 0.414
72.000 3.620 -0.037 -0.225
14.000 -4.076 0.055 0.386
40.000 -0.680 -0.008 -0.030
73.000 3.710 -0.042 -0.234
15.000 -3.949 0.049 0.363
41.000 -0.531 0.004 -0.029
85.000 5.294 -0.038 -0.254
16.000 -3.813 0.050 0.328
17.000 -3.703 0.048 0.312
66.000 2.800 -0.031 -0.207
34.000 -1.517 0.008 0.048
92.000 6.258 -0.031 -0.246
18.000 -3.618 0.042 0.299
60.000 1.987 -0.019 -0.173
35.000 -1.362 0.005 0.040
19.000 -3.477 0.037 0.279
20.000 -3.338 0.042 0.261
21.000 -3.197 0.027 0.241
38.000 -0.928 -0.009 -0.010
70.000 3.418 -0.032 -0.228
22.000 -3.048 0.033 0.223
39.000 -0.837 -0.017 -0.018
52.000 0.933 -0.007 -0.088
23.000 -2.912 0.025 0.213
24.000 -2.805 0.023 0.202
25.000 -2.722 0.023 0.189
74.000 3.833 -0.032 -0.238
42.000 -0.388 -0.014 -0.031
26.000 -2.592 0.023 0.176
27.000 -2.461 0.014 0.157
29.000 -2.179 0.021 0.137
81.000 4.769 -0.033 -0.248
30.000 -2.033 0.008 0.119
78.000 4.361 -0.033 -0.240
79.000 4.506 -0.037 -0.247
99.000 -5.904 0.069 0.635
47.000 0.234 -0.006 -0.039
31.000 -1.911 0.012 0.101
83.000 5.003 -0.027 -0.251
51.000 0.806 -0.019 -0.078
32.000 -1.820 0.013 0.089
65.000 2.654 -0.020 -0.208
33.000 -1.678 0.001 0.070
36.000 -1.209 -0.012 0.024
58.000 1.779 -0.011 -0.159
93.000 6.399 -0.032 -0.231
37.000 -1.047 -0.006 -0.002
43.000 -0.242 -0.005 -0.042
56.000 1.471 -0.013 -0.130
44.000 -0.104 -0.011 -0.040
45.000 0.007 -0.022 -0.041
46.000 0.093 -0.016 -0.044
48.000 0.377 -0.017 -0.043
49.000 0.523 -0.011 -0.056
50.000 0.664 -0.007 -0.065
53.000 1.022 -0.004 -0.090
54.000 1.171 -0.015 -0.096
86.000 5.445 -0.033 -0.259
55.000 1.330 -0.009 -0.116
57.000 1.622 -0.020 -0.146
89.000 5.807 -0.041 -0.262
59.000 1.898 -0.009 -0.163
91.000 6.106 -0.032 -0.244
61.000 2.143 -0.014 -0.191
69.000 3.258 -0.043 -0.230
62.000 2.294 -0.019 -0.196
94.000 -5.755 0.079 0.619
64.000 2.595 -0.024 -0.205
67.000 2.957 -0.037 -0.217
90.000 5.959 -0.023 -0.242
68.000 3.109 -0.039 -0.222
71.000 3.478 -0.023 -0.223
75.000 3.916 -0.032 -0.246
76.000 4.064 -0.041 -0.246
77.000 4.215 -0.033 -0.249
80.000 4.655 -0.025 -0.257
82.000 4.853 -0.034 -0.252
84.000 5.147 -0.031 -0.239
88.000 5.654 -0.047 -0.267
95.000 -6.046 0.088 0.657
98.000 -6.189 0.087 0.665
100.000 -5.612 0.070 0.601
