#IMAGE_ID, QW, QX, QY, QZ, TX, TY, TZ, CAMERA_ID
103.000 1.000 0.019 -0.014 -0.011 -0.622 0.033 0.124 1.000
3.000 0.996 0.044 -0.082 0.011 5.762 0.108 0.750 1.000
4.000 0.994 0.054 -0.091 0.012 5.703 0.106 0.856 1.000
188.000 0.993 0.041 0.110 -0.012 -6.291 -0.035 0.775 1.000
5.000 0.993 0.066 -0.095 0.013 5.624 0.103 0.891 1.000
140.000 0.998 0.039 0.050 -0.002 -3.085 -0.008 0.242 1.000
6.000 0.993 0.050 -0.104 0.008 5.536 0.053 0.988 1.000
7.000 0.995 0.034 -0.092 0.006 5.489 0.039 0.847 1.000
167.000 0.997 0.011 0.075 -0.021 -4.890 0.100 0.384 1.000
8.000 0.996 0.036 -0.076 0.014 5.444 0.136 0.671 1.000
9.000 0.994 0.038 -0.102 0.020 5.328 0.185 0.951 1.000
10.000 0.993 0.044 -0.106 0.016 5.264 0.129 0.993 1.000
11.000 0.994 0.046 -0.097 0.010 5.242 0.065 0.889 1.000
12.000 0.994 0.039 -0.105 -0.000 5.161 -0.034 0.966 1.000
63.000 0.999 0.042 -0.002 -0.001 1.929 0.012 0.195 1.000
13.000 0.992 0.037 -0.124 0.002 5.053 -0.015 1.166 1.000
14.000 0.994 0.046 -0.102 0.003 5.032 -0.012 0.945 1.000
40.000 0.995 0.070 -0.074 -0.011 3.400 -0.102 0.619 1.000
15.000 0.994 0.048 -0.096 0.005 4.981 0.017 0.882 1.000
41.000 0.995 0.082 -0.052 -0.013 3.354 -0.115 0.454 1.000
16.000 0.993 0.043 -0.107 0.011 4.891 0.068 0.999 1.000
17.000 0.993 0.038 -0.107 0.007 4.838 0.041 0.996 1.000
18.000 0.992 0.033 -0.119 0.005 4.774 0.026 1.102 1.000
60.000 0.999 0.042 -0.021 -0.022 2.142 -0.087 0.258 1.000
19.000 0.991 0.030 -0.128 0.002 4.683 -0.001 1.184 1.000
20.000 0.993 0.032 -0.111 0.004 4.654 0.017 1.015 1.000
180.000 0.996 0.032 0.082 -0.033 -5.774 0.235 0.451 1.000
21.000 0.994 0.031 -0.108 -0.001 4.592 -0.022 0.981 1.000
