#IMAGE_ID, X, Y, Z
103.000 0.619 -0.024 -0.140
3.000 -5.808 -0.004 0.207
4.000 -5.764 -0.003 0.200
188.000 6.306 0.180 0.612
5.000 -5.692 -0.001 0.198
140.000 3.094 0.014 0.067
6.000 -5.621 -0.004 0.183
7.000 -5.551 0.005 0.175
167.000 4.892 0.106 0.352
8.000 -5.484 -0.001 0.168
9.000 -5.413 0.001 0.158
10.000 -5.356 0.005 0.146
11.000 -5.315 0.007 0.144
12.000 -5.249 0.001 0.132
63.000 -1.930 -0.032 -0.185
13.000 -5.185 -0.004 0.113
14.000 -5.119 0.003 0.096
40.000 -3.455 -0.025 -0.115
15.000 -5.058 -0.005 0.089
41.000 -3.385 -0.019 -0.110
16.000 -4.992 0.001 0.069
17.000 -4.939 -0.008 0.059
18.000 -4.899 -0.012 0.060
60.000 -2.152 -0.026 -0.170
19.000 -4.830 -0.014 0.045
20.000 -4.763 -0.011 0.039
180.000 5.773 0.149 0.502
21.000 -4.696 -0.017 0.028
141.000 3.169 0.020 0.081
22.000 -4.625 -0.016 0.020
23.000 -4.558 -0.016 0.010
24.000 -4.506 -0.016 -0.000
126.000 2.152 -0.014 -0.055
160.000 4.418 0.087 0.265
25.000 -4.465 -0.021 -0.000
127.000 2.228 -0.009 -0.049
26.000 -4.400 -0.010 -0.010
27.000 -4.335 -0.018 -0.016
163.000 4.638 0.095 0.304
28.000 -4.263 -0.020 -0.025
164.000 4.711 0.101 0.312
29.000 -4.195 -0.016 -0.032
81.000 -0.795 -0.028 -0.181
30.000 -4.123 -0.023 -0.039
78.000 -0.994 -0.029 -0.185
31.000 -4.063 -0.018 -0.053
83.000 -0.682 -0.024 -0.177
32.000 -4.017 -0.021 -0.053
33.000 -3.947 -0.018 -0.065
65.000 -1.827 -0.025 -0.183
34.000 -3.868 -0.017 -0.080
35.000 -3.791 -0.019 -0.082
36.000 -3.715 -0.028 -0.090
58.000 -2.254 -0.023 -0.165
37.000 -3.636 -0.025 -0.102
38.000 -3.577 -0.026 -0.101
39.000 -3.532 -0.034 -0.109
52.000 -2.672 -0.021 -0.137
42.000 -3.313 -0.029 -0.115
43.000 -3.244 -0.026 -0.116
56.000 -2.407 -0.025 -0.156
44.000 -3.176 -0.029 -0.114
45.000 -3.122 -0.032 -0.113
46.000 -3.081 -0.031 -0.117
47.000 -3.012 -0.022 -0.112
99.000 0.372 -0.025 -0.142
48.000 -2.941 -0.027 -0.113
49.000 -2.871 -0.027 -0.120
199.000 -6.006 0.002 0.241
50.000 -2.802 -0.022 -0.127
51.000 -2.732 -0.030 -0.131
53.000 -2.628 -0.020 -0.135
54.000 -2.554 -0.027 -0.139
86.000 -0.467 -0.028 -0.179
112.000 1.223 -0.022 -0.127
55.000 -2.478 -0.022 -0.146
145.000 3.345 0.029 0.109
57.000 -2.331 -0.026 -0.161
59.000 -2.196 -0.020 -0.167
61.000 -2.076 -0.023 -0.179
62.000 -2.003 -0.026 -0.180
114.000 1.363 -0.024 -0.111
64.000 -1.855 -0.029 -0.183
66.000 -1.755 -0.031 -0.181
108.000 0.958 -0.024 -0.132
67.000 -1.679 -0.033 -0.185
68.000 -1.606 -0.033 -0.186
90.000 -0.219 -0.023 -0.165
69.000 -1.533 -0.035 -0.186
70.000 -1.456 -0.029 -0.186
71.000 -1.426 -0.026 -0.182
72.000 -1.357 -0.031 -0.184
174.000 5.361 0.130 0.435
73.000 -1.313 -0.032 -0.185
175.000 5.434 0.121 0.440
74.000 -1.253 -0.029 -0.189
75.000 -1.212 -0.028 -0.190
115.000 1.424 -0.019 -0.112
76.000 -1.139 -0.032 -0.191
77.000 -1.066 -0.027 -0.188
129.000 2.360 -0.009 -0.033
79.000 -0.923 -0.029 -0.184
80.000 -0.851 -0.024 -0.184
82.000 -0.754 -0.030 -0.180
84.000 -0.612 -0.024 -0.172
85.000 -0.540 -0.029 -0.176
87.000 -0.409 -0.032 -0.177
113.000 1.294 -0.019 -0.118
88.000 -0.366 -0.035 -0.176
89.000 -0.292 -0.028 -0.174
91.000 -0.149 -0.026 -0.161
92.000 -0.077 -0.022 -0.158
93.000 -0.011 -0.024 -0.154
94.000 0.042 -0.024 -0.151
146.000 3.420 0.032 0.123
95.000 0.087 -0.022 -0.148
111.000 1.148 -0.023 -0.129
96.000 0.157 -0.022 -0.143
97.000 0.230 -0.026 -0.143
98.000 0.302 -0.019 -0.145
122.000 1.889 -0.014 -0.075
154.000 4.000 0.063 0.205
100.000 0.444 -0.024 -0.142
132.000 2.557 -0.001 -0.009
101.000 0.502 -0.020 -0.141
102.000 0.546 -0.023 -0.139
104.000 0.691 -0.021 -0.142
105.000 0.758 -0.026 -0.139
177.000 5.587 0.133 0.473
106.000 0.830 -0.024 -0.141
107.000 0.901 -0.020 -0.136
109.000 1.003 -0.025 -0.132
181.000 5.849 0.151 0.507
110.000 1.079 -0.020 -0.133
162.000 4.565 0.092 0.291
116.000 1.466 -0.017 -0.107
117.000 1.531 -0.019 -0.099
149.000 3.654 0.044 0.161
118.000 1.601 -0.018 -0.096
119.000 1.677 -0.014 -0.086
171.000 5.191 0.117 0.404
120.000 1.753 -0.019 -0.081
121.000 1.833 -0.018 -0.078
123.000 1.932 -0.018 -0.076
124.000 2.005 -0.012 -0.071
172.000 5.248 0.122 0.417
125.000 2.077 -0.011 -0.061
128.000 2.300 -0.013 -0.038
130.000 2.404 -0.005 -0.026
131.000 2.481 0.002 -0.016
144.000 3.274 0.024 0.101
133.000 2.628 0.010 0.001
134.000 2.702 0.007 0.010
135.000 2.777 0.005 0.018
161.000 4.493 0.085 0.278
136.000 2.834 0.008 0.028
137.000 2.879 0.011 0.032
158.000 4.295 0.071 0.243
138.000 2.950 0.010 0.045
139.000 3.019 0.017 0.058
142.000 3.198 0.026 0.087
194.000 -5.935 0.006 0.222
143.000 3.243 0.027 0.094
147.000 3.498 0.032 0.139
148.000 3.575 0.039 0.147
150.000 3.730 0.046 0.174
151.000 3.791 0.055 0.182
152.000 3.840 0.053 0.183
153.000 3.920 0.054 0.192
155.000 4.078 0.063 0.219
156.000 4.157 0.062 0.228
157.000 4.234 0.071 0.237
159.000 4.340 0.073 0.254
185.000 6.137 0.166 0.565
165.000 4.769 0.108 0.331
166.000 4.815 0.112 0.335
168.000 4.970 0.112 0.364
200.000 -5.866 0.002 0.218
169.000 5.044 0.106 0.376
170.000 5.118 0.113 0.387
173.000 5.290 0.117 0.423
176.000 5.509 0.135 0.452
178.000 5.667 0.141 0.475
179.000 5.729 0.139 0.491
182.000 5.923 0.155 0.520
183.000 5.997 0.167 0.544
184.000 6.065 0.165 0.551
186.000 6.196 0.165 0.576
187.000 6.237 0.167 0.585
195.000 -6.076 0.005 0.252
198.000 -6.145 -0.002 0.257
