#IMAGE_ID, QW, QX, QY, QZ, TX, TY, TZ, CAMERA_ID
1.000 1.000 -0.019 0.015 -0.006 6.175 -0.294 -0.670 1.000
2.000 1.000 -0.007 -0.024 0.001 6.184 -0.196 -0.192 1.000
3.000 0.999 0.003 -0.016 0.034 5.969 0.220 -0.304 1.000
4.000 0.999 0.013 -0.026 0.035 5.955 0.242 -0.178 1.000
188.000 0.999 0.009 -0.046 -0.000 1.492 -0.016 -0.140 1.000
5.000 0.998 0.025 -0.032 0.037 5.925 0.266 -0.115 1.000
6.000 0.999 0.010 -0.042 0.030 5.900 0.177 0.003 1.000
7.000 0.999 -0.006 -0.029 0.027 5.869 0.126 -0.146 1.000
8.000 0.999 -0.004 -0.015 0.036 5.831 0.233 -0.321 1.000
9.000 0.998 -0.003 -0.041 0.040 5.806 0.285 -0.009 1.000
10.000 0.998 0.002 -0.047 0.037 5.784 0.242 0.055 1.000
337.000 0.995 -0.020 -0.099 0.011 -1.994 0.009 -0.179 1.000
11.000 0.999 0.005 -0.038 0.031 5.769 0.177 -0.049 1.000
12.000 0.999 -0.001 -0.046 0.021 5.743 0.056 0.046 1.000
13.000 0.997 -0.003 -0.067 0.022 5.708 0.072 0.284 1.000
14.000 0.999 0.006 -0.047 0.024 5.686 0.093 0.048 1.000
631.000 0.995 0.001 -0.096 0.007 0.117 0.007 -0.065 4.000
15.000 0.999 0.007 -0.041 0.026 5.659 0.124 -0.013 1.000
41.000 0.999 0.000 -0.048 0.025 5.239 0.103 0.043 1.000
16.000 0.998 0.002 -0.054 0.031 5.628 0.176 0.134 1.000
17.000 0.998 -0.003 -0.054 0.028 5.606 0.134 0.135 1.000
18.000 0.998 -0.008 -0.066 0.025 5.584 0.103 0.263 1.000
484.000 0.987 -0.009 -0.161 -0.025 -5.520 0.354 -0.843 1.000
505.000 0.983 0.003 -0.184 -0.023 -6.026 0.348 -1.173 1.000
19.000 0.997 -0.012 -0.076 0.021 5.549 0.063 0.378 1.000
20.000 0.998 -0.010 -0.060 0.023 5.529 0.087 0.194 1.000
21.000 0.998 -0.012 -0.057 0.018 5.502 0.032 0.164 1.000
141.000 0.996 -0.014 -0.091 0.008 2.794 -0.002 0.155 1.000
22.000 0.998 -0.006 -0.066 0.008 5.468 -0.078 0.252 1.000
23.000 0.998 -0.006 -0.066 0.008 5.468 -0.076 0.255 1.000
24.000 0.999 -0.004 -0.051 0.006 5.445 -0.101 0.084 1.000
126.000 0.998 -0.002 -0.066 0.019 3.201 0.058 0.037 1.000
461.000 0.995 -0.005 -0.092 -0.047 -4.943 0.550 -0.108 1.000
495.000 0.986 0.006 -0.163 -0.025 -5.812 0.366 -0.890 1.000
25.000 0.999 -0.004 -0.051 0.006 5.445 -0.104 0.083 1.000
355.000 0.991 -0.009 -0.132 0.016 -2.490 -0.021 -0.373 1.000
26.000 0.998 -0.013 -0.056 0.013 5.422 -0.021 0.145 1.000
286.000 0.993 -0.007 -0.119 -0.002 -0.634 0.020 -0.151 1.000
27.000 0.998 -0.013 -0.056 0.013 5.422 -0.022 0.146 1.000
28.000 0.998 -0.018 -0.062 0.021 5.403 0.059 0.206 1.000
29.000 0.998 -0.018 -0.062 0.021 5.403 0.062 0.202 1.000
81.000 0.999 0.011 -0.018 0.026 4.338 0.119 -0.281 1.000
30.000 0.999 -0.015 -0.028 0.031 5.375 0.162 -0.166 1.000
78.000 0.999 -0.003 -0.031 0.010 4.435 -0.034 -0.162 1.000
31.000 0.999 -0.015 -0.028 0.031 5.375 0.159 -0.161 1.000
83.000 1.000 0.014 -0.002 0.027 4.287 0.133 -0.416 1.000
32.000 0.999 -0.001 -0.018 0.031 5.344 0.174 -0.272 1.000
33.000 0.999 -0.001 -0.018 0.031 5.343 0.170 -0.275 1.000
34.000 0.998 0.014 -0.045 0.037 5.319 0.239 0.013 1.000
35.000 0.998 0.014 -0.045 0.037 5.319 0.240 0.012 1.000
211.000 0.998 0.004 -0.060 0.004 0.978 -0.004 -0.098 1.000
36.000 0.999 0.019 -0.026 0.038 5.286 0.254 -0.188 1.000
58.000 0.999 0.043 -0.027 0.008 4.962 -0.038 -0.197 1.000
37.000 0.999 0.018 -0.027 0.038 5.286 0.254 -0.179 1.000
38.000 0.999 0.006 -0.033 0.027 5.262 0.127 -0.109 1.000
39.000 0.999 0.006 -0.034 0.026 5.263 0.127 -0.105 1.000
52.000 0.999 0.017 -0.034 0.016 5.040 0.024 -0.110 1.000
371.000 0.989 0.004 -0.144 0.014 -2.880 -0.015 -0.479 1.000
40.000 0.999 0.001 -0.048 0.025 5.239 0.103 0.047 1.000
42.000 0.999 0.004 -0.047 0.026 5.220 0.121 0.030 1.000
43.000 0.999 0.007 -0.025 0.021 5.188 0.076 -0.193 1.000
44.000 0.999 0.012 -0.043 0.023 5.159 0.091 -0.012 1.000
45.000 0.999 0.012 -0.042 0.023 5.159 0.091 -0.018 1.000
46.000 0.999 0.023 -0.028 0.024 5.126 0.107 -0.170 1.000
47.000 0.999 0.023 -0.028 0.024 5.125 0.106 -0.171 1.000
99.000 1.000 0.008 -0.021 0.015 3.898 0.033 -0.263 1.000
48.000 0.999 0.019 -0.035 0.024 5.096 0.111 -0.103 1.000
49.000 0.999 0.019 -0.035 0.024 5.096 0.110 -0.102 1.000
199.000 0.995 -0.003 -0.102 -0.017 1.201 -0.059 0.004 1.000
50.000 0.998 0.012 -0.051 0.026 5.064 0.120 0.069 1.000
51.000 0.998 0.012 -0.052 0.026 5.064 0.123 0.070 1.000
53.000 0.999 0.017 -0.034 0.016 5.040 0.026 -0.110 1.000
496.000 0.985 0.006 -0.168 -0.021 -5.822 0.320 -0.959 1.000
54.000 0.999 0.020 -0.027 0.007 5.020 -0.063 -0.184 1.000
55.000 0.999 0.020 -0.027 0.006 5.020 -0.067 -0.185 1.000
56.000 0.998 0.031 -0.047 0.009 4.994 -0.044 0.010 1.000
439.000 0.989 -0.024 -0.145 -0.019 -4.498 0.257 -0.616 1.000
57.000 0.998 0.031 -0.047 0.009 4.993 -0.042 0.009 1.000
59.000 0.998 0.040 -0.036 0.008 4.936 -0.038 -0.103 1.000
60.000 0.997 0.033 -0.065 0.025 4.905 0.114 0.181 1.000
390.000 0.983 -0.027 -0.180 -0.019 -3.252 0.189 -0.753 1.000
411.000 0.986 -0.022 -0.163 0.003 -3.725 0.050 -0.696 1.000
61.000 0.997 0.042 -0.052 0.031 4.880 0.177 0.055 1.000
62.000 0.997 0.047 -0.052 0.030 4.858 0.171 0.052 1.000
114.000 0.997 -0.032 -0.073 0.001 3.510 -0.076 0.105 1.000
63.000 0.996 0.048 -0.067 0.033 4.837 0.199 0.196 1.000
64.000 0.997 0.052 -0.047 0.029 4.814 0.171 -0.002 1.000
65.000 0.998 0.040 -0.042 0.019 4.788 0.065 -0.059 1.000
66.000 0.998 0.021 -0.056 0.020 4.759 0.062 0.071 1.000
67.000 0.999 0.017 -0.031 0.021 4.729 0.078 -0.163 1.000
68.000 0.999 0.010 -0.032 0.019 4.701 0.051 -0.156 1.000
69.000 0.999 0.011 -0.048 0.021 4.679 0.066 -0.009 1.000
253.000 0.995 0.018 -0.100 0.002 0.024 0.008 -0.067 1.000
70.000 0.999 0.015 -0.041 0.018 4.661 0.046 -0.072 1.000
71.000 0.999 0.007 -0.032 0.007 4.628 -0.061 -0.159 1.000
72.000 0.998 -0.011 -0.060 0.016 4.599 0.012 0.098 1.000
174.000 0.999 0.032 -0.015 -0.018 1.872 -0.072 -0.252 1.000
407.000 0.984 -0.025 -0.176 0.003 -3.587 0.050 -0.778 1.000
501.000 0.986 0.002 -0.165 -0.019 -5.970 0.300 -0.940 1.000
73.000 0.999 -0.018 -0.026 0.011 4.566 -0.036 -0.212 1.000
175.000 0.999 0.029 -0.012 -0.021 1.845 -0.084 -0.261 1.000
74.000 1.000 -0.016 -0.026 0.001 4.535 -0.128 -0.211 1.000
334.000 0.994 -0.030 -0.101 0.017 -1.923 -0.016 -0.187 1.000
75.000 0.999 -0.004 -0.031 -0.001 4.506 -0.132 -0.161 1.000
76.000 1.000 0.004 -0.018 -0.001 4.476 -0.128 -0.281 1.000
77.000 1.000 0.001 -0.020 0.002 4.460 -0.106 -0.263 1.000
129.000 0.998 0.003 -0.065 0.010 3.113 0.009 0.026 1.000
319.000 0.991 0.001 -0.133 -0.006 -1.505 0.058 -0.278 1.000
79.000 1.000 -0.001 -0.008 0.018 4.393 0.035 -0.367 1.000
80.000 1.000 0.000 -0.006 0.023 4.361 0.089 -0.382 1.000
82.000 0.999 0.016 -0.009 0.027 4.321 0.128 -0.361 1.000
202.000 0.998 -0.019 -0.060 -0.006 1.110 -0.037 -0.097 1.000
84.000 0.999 0.001 -0.022 0.033 4.268 0.172 -0.245 1.000
300.000 0.993 -0.026 -0.114 0.017 -0.991 -0.012 -0.175 1.000
85.000 0.999 -0.003 -0.004 0.039 4.225 0.218 -0.401 1.000
86.000 0.999 -0.001 -0.003 0.035 4.196 0.190 -0.404 1.000
472.000 0.993 0.001 -0.106 -0.049 -5.243 0.598 -0.230 1.000
87.000 0.999 0.006 -0.023 0.030 4.179 0.148 -0.243 1.000
113.000 0.999 -0.013 -0.042 0.004 3.539 -0.054 -0.113 1.000
88.000 0.999 0.006 -0.020 0.026 4.167 0.112 -0.264 1.000
456.000 0.996 -0.041 -0.057 -0.051 -4.836 0.617 0.215 1.000
89.000 1.000 -0.009 -0.017 0.015 4.139 0.012 -0.288 1.000
90.000 0.999 -0.025 -0.031 0.018 4.128 0.029 -0.177 1.000
91.000 0.999 -0.041 -0.027 0.025 4.102 0.072 -0.210 1.000
92.000 0.999 -0.047 -0.009 0.025 4.075 0.061 -0.356 1.000
93.000 0.999 -0.044 -0.021 0.018 4.055 0.018 -0.251 1.000
303.000 0.992 -0.033 -0.123 -0.002 -1.066 0.027 -0.201 1.000
423.000 0.986 0.002 -0.165 -0.006 -4.043 0.124 -0.753 1.000
94.000 0.999 -0.030 -0.020 0.013 4.024 -0.020 -0.261 1.000
146.000 0.998 0.013 -0.052 0.033 2.650 0.144 -0.070 1.000
95.000 1.000 -0.016 -0.013 0.007 3.990 -0.054 -0.322 1.000
288.000 0.995 -0.007 -0.099 -0.013 -0.684 0.039 -0.130 1.000
96.000 0.999 -0.019 -0.024 0.010 3.968 -0.034 -0.235 1.000
