#FRAME_ID, X, Y, Z
1.000 -6.195 0.198 0.494
2.000 -6.167 0.204 0.491
3.000 -5.957 0.188 0.495
4.000 -5.940 0.183 0.488
188.000 -1.473 0.020 0.276
5.000 -5.908 0.188 0.496
6.000 -5.879 0.182 0.492
7.000 -5.849 0.187 0.487
8.000 -5.821 0.184 0.496
9.000 -5.790 0.178 0.485
10.000 -5.766 0.187 0.489
337.000 1.989 -0.052 -0.219
11.000 -5.748 0.183 0.487
12.000 -5.720 0.185 0.482
13.000 -5.692 0.179 0.482
14.000 -5.663 0.182 0.485
631.000 -0.102 -0.005 0.086
15.000 -5.638 0.173 0.476
41.000 -5.218 0.159 0.459
16.000 -5.610 0.174 0.474
17.000 -5.587 0.179 0.471
18.000 -5.568 0.175 0.475
484.000 5.512 -0.074 -0.960
505.000 6.052 -0.065 -1.086
19.000 -5.540 0.169 0.469
20.000 -5.511 0.165 0.470
21.000 -5.482 0.162 0.465
141.000 -2.775 0.044 0.354
22.000 -5.452 0.164 0.472
23.000 -5.452 0.162 0.469
24.000 -5.424 0.165 0.472
126.000 -3.178 0.063 0.385
461.000 4.908 -0.081 -0.806
495.000 5.800 -0.072 -1.027
25.000 -5.423 0.168 0.473
355.000 2.500 -0.060 -0.292
26.000 -5.402 0.158 0.465
286.000 0.652 -0.018 -0.003
27.000 -5.402 0.159 0.464
28.000 -5.385 0.163 0.466
29.000 -5.384 0.160 0.470
81.000 -4.325 0.114 0.437
30.000 -5.357 0.162 0.467
78.000 -4.415 0.121 0.437
31.000 -5.357 0.165 0.462
83.000 -4.286 0.110 0.433
32.000 -5.331 0.157 0.464
33.000 -5.330 0.160 0.467
34.000 -5.301 0.161 0.467
35.000 -5.301 0.160 0.468
211.000 -0.959 0.013 0.214
36.000 -5.273 0.160 0.465
58.000 -4.943 0.145 0.457
37.000 -5.272 0.159 0.466
38.000 -5.242 0.160 0.456
39.000 -5.243 0.150 0.462
52.000 -5.019 0.147 0.450
371.000 2.896 -0.066 -0.362
40.000 -5.218 0.159 0.455
42.000 -5.199 0.152 0.460
43.000 -5.170 0.146 0.452
44.000 -5.138 0.152 0.454
45.000 -5.138 0.152 0.450
46.000 -5.107 0.153 0.456
47.000 -5.106 0.154 0.457
99.000 -3.883 0.089 0.426
48.000 -5.076 0.144 0.459
49.000 -5.076 0.145 0.458
199.000 -1.178 0.018 0.240
50.000 -5.044 0.148 0.447
51.000 -5.043 0.145 0.456
53.000 -5.019 0.145 0.450
496.000 5.819 -0.072 -1.024
54.000 -5.001 0.146 0.451
55.000 -5.002 0.140 0.452
56.000 -4.971 0.148 0.453
439.000 4.491 -0.082 -0.710
57.000 -4.970 0.146 0.454
59.000 -4.915 0.139 0.451
60.000 -4.886 0.141 0.456
390.000 3.311 -0.070 -0.456
411.000 3.750 -0.076 -0.543
61.000 -4.860 0.143 0.454
62.000 -4.838 0.140 0.455
114.000 -3.487 0.073 0.412
63.000 -4.822 0.134 0.457
64.000 -4.793 0.132 0.457
65.000 -4.765 0.138 0.458
66.000 -4.736 0.136 0.460
67.000 -4.709 0.131 0.455
68.000 -4.680 0.134 0.456
69.000 -4.655 0.135 0.457
253.000 -0.010 -0.005 0.071
70.000 -4.638 0.129 0.452
71.000 -4.607 0.130 0.453
72.000 -4.576 0.131 0.455
174.000 -1.865 0.023 0.305
407.000 3.633 -0.079 -0.517
501.000 5.958 -0.070 -1.055
73.000 -4.547 0.124 0.452
175.000 -1.840 0.023 0.302
74.000 -4.518 0.126 0.450
334.000 1.921 -0.049 -0.205
75.000 -4.488 0.121 0.441
76.000 -4.463 0.122 0.441
77.000 -4.445 0.125 0.441
129.000 -3.090 0.054 0.378
319.000 1.526 -0.040 -0.129
79.000 -4.385 0.122 0.437
80.000 -4.356 0.111 0.434
82.000 -4.314 0.118 0.439
202.000 -1.091 0.018 0.230
84.000 -4.255 0.110 0.433
300.000 1.005 -0.025 -0.054
85.000 -4.226 0.109 0.435
86.000 -4.197 0.103 0.429
472.000 5.207 -0.083 -0.885
87.000 -4.165 0.107 0.435
113.000 -3.516 0.075 0.411
88.000 -4.153 0.109 0.431
456.000 4.814 -0.081 -0.796
89.000 -4.125 0.106 0.429
90.000 -4.108 0.104 0.434
91.000 -4.084 0.106 0.433
92.000 -4.067 0.106 0.431
93.000 -4.039 0.098 0.425
303.000 1.083 -0.027 -0.067
423.000 4.069 -0.074 -0.604
94.000 -4.009 0.104 0.426
146.000 -2.632 0.036 0.347
95.000 -3.979 0.098 0.428
288.000 0.697 -0.022 -0.008
96.000 -3.951 0.101 0.428
97.000 -3.922 0.097 0.422
98.000 -3.900 0.095 0.426
122.000 -3.276 0.063 0.393
154.000 -2.418 0.034 0.341
100.000 -3.854 0.096 0.425
132.000 -3.010 0.056 0.375
284.000 0.629 -0.019 0.000
101.000 -3.826 0.089 0.424
102.000 -3.797 0.092 0.421
103.000 -3.767 0.087 0.419
104.000 -3.744 0.085 0.418
105.000 -3.727 0.080 0.416
106.000 -3.697 0.084 0.416
433.000 4.335 -0.080 -0.672
107.000 -3.667 0.088 0.414
108.000 -3.639 0.084 0.415
109.000 -3.610 0.081 0.413
110.000 -3.583 0.084 0.415
162.000 -2.228 0.032 0.334
111.000 -3.563 0.079 0.413
112.000 -3.545 0.076 0.412
479.000 5.390 -0.073 -0.931
506.000 6.081 -0.073 -1.085
115.000 -3.458 0.076 0.410
235.000 -0.508 0.005 0.150
116.000 -3.431 0.070 0.407
236.000 -0.483 0.003 0.146
117.000 -3.402 0.074 0.403
118.000 -3.378 0.075 0.405
258.000 0.120 -0.008 0.051
119.000 -3.360 0.068 0.404
171.000 -1.960 0.028 0.317
120.000 -3.332 0.064 0.398
121.000 -3.302 0.067 0.397
123.000 -3.247 0.065 0.388
124.000 -3.219 0.064 0.388
172.000 -1.928 0.027 0.313
125.000 -3.196 0.058 0.385
566.000 -0.483 0.003 0.146
127.000 -3.148 0.064 0.378
321.000 1.578 -0.039 -0.138
128.000 -3.119 0.059 0.379
130.000 -3.061 0.054 0.378
131.000 -3.034 0.056 0.376
133.000 -2.993 0.054 0.373
134.000 -2.966 0.052 0.373
362.000 2.686 -0.063 -0.328
135.000 -2.938 0.052 0.367
161.000 -2.258 0.031 0.336
136.000 -2.909 0.049 0.366
264.000 0.284 -0.011 0.030
137.000 -2.877 0.045 0.364
138.000 -2.846 0.045 0.362
139.000 -2.823 0.048 0.358
140.000 -2.806 0.044 0.357
191.000 -1.403 0.017 0.270
192.000 -1.374 0.014 0.265
243.000 -0.287 0.002 0.116
142.000 -2.746 0.046 0.357
194.000 -1.312 0.017 0.257
143.000 -2.716 0.043 0.355
144.000 -2.686 0.040 0.349
239.000 -0.404 0.002 0.132
292.000 0.803 -0.020 -0.015
145.000 -2.656 0.039 0.348
147.000 -2.614 0.042 0.346
148.000 -2.581 0.039 0.347
149.000 -2.551 0.038 0.342
150.000 -2.521 0.039 0.343
151.000 -2.491 0.034 0.339
203.000 -1.067 0.015 0.228
152.000 -2.461 0.036 0.340
344.000 2.173 -0.054 -0.244
153.000 -2.437 0.037 0.337
155.000 -2.389 0.032 0.337
156.000 -2.360 0.032 0.338
404.000 3.563 -0.076 -0.504
157.000 -2.332 0.029 0.336
226.000 -0.663 0.005 0.173
158.000 -2.302 0.033 0.336
159.000 -2.289 0.034 0.334
160.000 -2.271 0.030 0.336
448.000 4.714 -0.073 -0.767
163.000 -2.198 0.032 0.332
219.000 -0.767 0.009 0.187
164.000 -2.166 0.027 0.331
165.000 -2.134 0.031 0.330
218.000 -0.797 0.009 0.193
166.000 -2.102 0.028 0.327
370.000 2.877 -0.063 -0.360
167.000 -2.070 0.029 0.327
168.000 -2.046 0.028 0.321
360.000 2.635 -0.062 -0.314
169.000 -2.026 0.029 0.322
170.000 -1.994 0.026 0.318
173.000 -1.895 0.024 0.310
176.000 -1.822 0.024 0.299
177.000 -1.790 0.024 0.297
178.000 -1.760 0.025 0.297
205.000 -1.049 0.014 0.226
179.000 -1.729 0.024 0.294
180.000 -1.699 0.024 0.294
668.000 0.179 -0.008 0.043
181.000 -1.670 0.024 0.291
182.000 -1.645 0.024 0.289
183.000 -1.627 0.023 0.287
184.000 -1.595 0.022 0.286
185.000 -1.564 0.020 0.283
186.000 -1.533 0.019 0.279
446.000 4.664 -0.080 -0.757
187.000 -1.503 0.019 0.279
189.000 -1.449 0.017 0.273
241.000 -0.343 0.000 0.123
190.000 -1.432 0.016 0.272
490.000 5.665 -0.074 -0.994
193.000 -1.344 0.016 0.261
195.000 -1.281 0.015 0.252
196.000 -1.256 0.016 0.249
197.000 -1.239 0.014 0.246
198.000 -1.209 0.014 0.241
311.000 1.306 -0.034 -0.104
200.000 -1.148 0.017 0.236
201.000 -1.121 0.016 0.233
204.000 -1.049 0.014 0.226
206.000 -1.019 0.017 0.223
207.000 -1.019 0.016 0.224
208.000 -0.989 0.015 0.220
336.000 1.961 -0.051 -0.211
209.000 -0.989 0.015 0.220
210.000 -0.959 0.013 0.214
212.000 -0.929 0.014 0.211
280.000 0.572 -0.015 0.005
213.000 -0.929 0.014 0.211
214.000 -0.900 0.012 0.206
338.000 2.018 -0.052 -0.223
215.000 -0.875 0.013 0.204
216.000 -0.857 0.014 0.203
228.000 -0.603 0.005 0.164
328.000 1.762 -0.044 -0.168
217.000 -0.827 0.010 0.197
220.000 -0.737 0.008 0.183
221.000 -0.737 0.008 0.182
222.000 -0.706 0.007 0.178
282.000 0.600 -0.017 0.003
223.000 -0.706 0.007 0.180
224.000 -0.681 0.008 0.176
225.000 -0.681 0.008 0.176
227.000 -0.633 0.006 0.169
229.000 -0.603 0.005 0.163
230.000 -0.571 0.005 0.160
231.000 -0.572 0.005 0.159
232.000 -0.539 0.007 0.156
233.000 -0.539 0.006 0.155
234.000 -0.508 0.005 0.150
237.000 -0.464 0.004 0.142
238.000 -0.434 0.002 0.137
298.000 0.954 -0.023 -0.044
240.000 -0.374 0.002 0.129
432.000 4.306 -0.076 -0.668
242.000 -0.312 0.001 0.120
318.000 1.498 -0.037 -0.126
438.000 4.461 -0.082 -0.701
244.000 -0.268 -0.000 0.111
449.000 4.731 -0.073 -0.770
245.000 -0.235 -0.000 0.108
246.000 -0.204 0.001 0.104
314.000 1.392 -0.036 -0.114
247.000 -0.173 -0.002 0.098
248.000 -0.143 -0.002 0.093
376.000 3.046 -0.065 -0.394
249.000 -0.120 -0.004 0.090
250.000 -0.103 -0.006 0.086
430.000 4.250 -0.078 -0.646
251.000 -0.073 -0.005 0.081
252.000 -0.042 -0.004 0.077
254.000 0.020 -0.004 0.066
255.000 0.049 -0.008 0.060
256.000 0.072 -0.008 0.057
324.000 1.653 -0.039 -0.145
257.000 0.089 -0.006 0.055
259.000 0.149 -0.009 0.047
260.000 0.179 -0.008 0.043
261.000 0.209 -0.011 0.038
262.000 0.240 -0.009 0.036
263.000 0.266 -0.009 0.032
265.000 0.298 -0.012 0.028
308.000 1.217 -0.030 -0.091
266.000 0.329 -0.011 0.023
299.000 0.982 -0.026 -0.049
267.000 0.347 -0.012 0.022
361.000 2.664 -0.060 -0.319
268.000 0.378 -0.015 0.017
269.000 0.410 -0.012 0.016
270.000 0.441 -0.013 0.015
271.000 0.441 -0.013 0.014
272.000 0.465 -0.014 0.012
273.000 0.465 -0.014 0.012
274.000 0.483 -0.014 0.011
275.000 0.483 -0.014 0.011
276.000 0.512 -0.015 0.010
277.000 0.512 -0.015 0.010
278.000 0.543 -0.017 0.007
279.000 0.572 -0.015 0.006
281.000 0.600 -0.017 0.003
283.000 0.629 -0.019 -0.001
285.000 0.652 -0.018 -0.002
674.000 0.090 -0.006 0.055
287.000 0.669 -0.019 -0.004
381.000 3.181 -0.068 -0.423
289.000 0.725 -0.019 -0.011
290.000 0.751 -0.019 -0.011
291.000 0.775 -0.021 -0.012
347.000 2.260 -0.054 -0.254
293.000 0.824 -0.021 -0.019
294.000 0.841 -0.023 -0.022
295.000 0.870 -0.022 -0.028
296.000 0.898 -0.022 -0.032
364.000 2.733 -0.065 -0.331
297.000 0.926 -0.023 -0.039
301.000 1.023 -0.025 -0.057
302.000 1.053 -0.025 -0.061
304.000 1.112 -0.027 -0.072
305.000 1.144 -0.029 -0.080
306.000 1.175 -0.028 -0.084
307.000 1.199 -0.029 -0.086
670.000 0.240 -0.009 0.035
309.000 1.247 -0.032 -0.096
310.000 1.276 -0.031 -0.100
312.000 1.337 -0.031 -0.107
313.000 1.368 -0.034 -0.110
315.000 1.411 -0.037 -0.116
316.000 1.439 -0.036 -0.122
317.000 1.468 -0.040 -0.125
320.000 1.555 -0.041 -0.133
322.000 1.594 -0.040 -0.140
323.000 1.624 -0.045 -0.142
507.000 6.108 -0.073 -1.098
325.000 1.681 -0.042 -0.149
672.000 0.072 -0.008 0.057
326.000 1.711 -0.041 -0.155
327.000 1.739 -0.041 -0.160
329.000 1.779 -0.048 -0.169
330.000 1.808 -0.046 -0.176
331.000 1.836 -0.049 -0.183
332.000 1.865 -0.048 -0.189
333.000 1.893 -0.050 -0.195
335.000 1.944 -0.050 -0.210
429.000 4.222 -0.071 -0.642
339.000 2.044 -0.050 -0.228
340.000 2.073 -0.056 -0.234
460.000 4.892 -0.075 -0.803
341.000 2.102 -0.052 -0.236
375.000 3.016 -0.067 -0.391
342.000 2.114 -0.054 -0.239
343.000 2.144 -0.054 -0.241
345.000 2.201 -0.056 -0.248
346.000 2.231 -0.057 -0.253
348.000 2.289 -0.057 -0.258
349.000 2.313 -0.057 -0.263
350.000 2.331 -0.057 -0.263
351.000 2.360 -0.056 -0.271
352.000 2.390 -0.059 -0.275
353.000 2.448 -0.059 -0.282
354.000 2.478 -0.058 -0.287
356.000 2.518 -0.058 -0.292
412.000 3.778 -0.074 -0.548
467.000 5.074 -0.077 -0.856
357.000 2.547 -0.064 -0.303
358.000 2.577 -0.060 -0.305
359.000 2.606 -0.064 -0.310
363.000 2.705 -0.065 -0.331
365.000 2.763 -0.063 -0.336
366.000 2.795 -0.062 -0.343
486.000 5.570 -0.078 -0.969
367.000 2.805 -0.062 -0.347
368.000 2.824 -0.064 -0.347
436.000 4.403 -0.078 -0.691
369.000 2.852 -0.065 -0.355
633.000 -0.042 -0.004 0.076
372.000 2.926 -0.067 -0.369
373.000 2.956 -0.067 -0.378
374.000 2.986 -0.067 -0.384
426.000 4.157 -0.073 -0.623
377.000 3.069 -0.068 -0.402
497.000 5.847 -0.069 -1.035
378.000 3.087 -0.065 -0.404
379.000 3.117 -0.069 -0.415
380.000 3.148 -0.067 -0.422
382.000 3.212 -0.064 -0.429
383.000 3.211 -0.064 -0.430
384.000 3.222 -0.066 -0.434
385.000 3.223 -0.065 -0.434
386.000 3.252 -0.068 -0.439
562.000 6.280 -0.066 -1.141
387.000 3.252 -0.069 -0.440
481.000 5.439 -0.081 -0.942
388.000 3.282 -0.065 -0.445
389.000 3.283 -0.066 -0.447
482.000 5.456 -0.082 -0.950
391.000 3.311 -0.071 -0.457
392.000 3.342 -0.069 -0.464
393.000 3.372 -0.066 -0.466
468.000 5.093 -0.081 -0.857
502.000 5.980 -0.065 -1.066
394.000 3.373 -0.073 -0.464
488.000 5.620 -0.072 -0.984
519.000 6.227 -0.067 -1.126
395.000 3.401 -0.071 -0.476
396.000 3.401 -0.071 -0.471
397.000 3.429 -0.071 -0.481
398.000 3.430 -0.071 -0.482
399.000 3.453 -0.071 -0.481
400.000 3.453 -0.071 -0.481
401.000 3.470 -0.074 -0.488
444.000 4.608 -0.080 -0.748
402.000 3.500 -0.070 -0.496
503.000 5.996 -0.066 -1.071
403.000 3.531 -0.077 -0.500
405.000 3.593 -0.070 -0.510
406.000 3.617 -0.075 -0.509
458.000 4.841 -0.080 -0.802
408.000 3.662 -0.076 -0.523
409.000 3.692 -0.079 -0.526
410.000 3.721 -0.076 -0.533
422.000 4.040 -0.073 -0.599
413.000 3.802 -0.071 -0.552
414.000 3.818 -0.077 -0.559
415.000 3.847 -0.078 -0.567
416.000 3.877 -0.072 -0.570
417.000 3.906 -0.075 -0.578
418.000 3.935 -0.075 -0.584
419.000 3.967 -0.077 -0.584
420.000 3.990 -0.076 -0.593
421.000 4.008 -0.077 -0.597
474.000 5.257 -0.085 -0.896
671.000 0.149 -0.009 0.047
424.000 4.098 -0.082 -0.613
425.000 4.128 -0.075 -0.619
427.000 4.181 -0.073 -0.630
428.000 4.197 -0.076 -0.631
431.000 4.279 -0.073 -0.652
434.000 4.358 -0.073 -0.676
435.000 4.375 -0.082 -0.680
437.000 4.431 -0.078 -0.702
440.000 4.516 -0.081 -0.717
441.000 4.537 -0.078 -0.730
442.000 4.554 -0.078 -0.732
443.000 4.582 -0.077 -0.738
445.000 4.636 -0.076 -0.751
