#IMAGE_ID, QW, QX, QY, QZ, TX, TY, TZ, CAMERA_ID
92.000 0.999 0.000 -0.027 0.026 3.966 0.127 -0.305 1.000
0.000 0.999 -0.011 0.032 -0.006 6.039 -0.270 -0.907 1.000
14.000 0.999 0.003 0.002 0.036 5.752 0.249 -0.557 1.000
31.000 0.999 -0.010 -0.047 0.020 5.399 0.068 -0.020 1.000
10.000 0.999 0.020 -0.010 0.036 5.868 0.272 -0.413 1.000
177.000 0.999 0.015 -0.046 -0.000 1.949 -0.015 -0.240 1.000
1.000 1.000 0.001 -0.008 0.001 6.070 -0.163 -0.432 1.000
9.000 0.999 0.010 0.001 0.034 5.875 0.245 -0.537 1.000
12.000 0.999 0.017 -0.026 0.031 5.827 0.203 -0.236 1.000
309.000 0.993 -0.014 -0.119 0.013 -1.169 0.008 -0.202 1.000
365.000 0.971 -0.042 -0.236 -0.009 -2.376 0.082 -0.802 1.000
11.000 0.999 0.033 -0.015 0.038 5.843 0.299 -0.352 1.000
13.000 1.000 0.002 -0.013 0.027 5.794 0.144 -0.384 1.000
473.000 0.977 0.024 -0.209 -0.027 -4.913 0.315 -0.948 1.000
15.000 0.999 0.004 -0.025 0.040 5.743 0.302 -0.249 1.000
488.000 0.971 -0.005 -0.239 -0.013 -5.191 0.177 -1.320 1.000
278.000 0.987 -0.028 -0.156 -0.009 -0.420 0.022 -0.205 1.000
16.000 0.999 0.010 -0.031 0.037 5.727 0.262 -0.183 1.000
17.000 0.999 0.013 -0.022 0.031 5.710 0.199 -0.285 1.000
239.000 0.996 0.016 -0.085 -0.000 0.444 0.006 -0.122 1.000
18.000 0.999 0.007 -0.030 0.020 5.692 0.076 -0.189 1.000
19.000 0.998 0.004 -0.051 0.022 5.670 0.091 0.047 1.000
20.000 0.999 0.014 -0.031 0.024 5.641 0.116 -0.186 1.000
37.000 0.999 0.008 -0.034 0.024 5.249 0.118 -0.167 1.000
37.000 0.999 0.008 -0.034 0.024 5.249 0.118 -0.171 1.000
21.000 0.999 0.015 -0.025 0.026 5.615 0.147 -0.245 1.000
22.000 0.999 0.010 -0.039 0.031 5.593 0.197 -0.097 1.000
23.000 0.999 0.005 -0.039 0.027 5.574 0.152 -0.095 1.000
447.000 0.976 -0.005 -0.213 -0.035 -4.309 0.364 -0.937 1.000
34.000 0.999 0.022 -0.030 0.036 5.316 0.260 -0.207 1.000
49.000 0.998 0.040 -0.049 0.025 4.959 0.144 -0.040 1.000
332.000 0.985 -0.010 -0.174 0.016 -1.678 -0.009 -0.415 1.000
352.000 0.978 0.008 -0.206 -0.017 -2.107 0.125 -0.600 1.000
429.000 0.987 0.009 -0.154 -0.043 -3.970 0.400 -0.415 1.000
411.000 0.995 -0.015 -0.087 -0.055 -3.553 0.458 0.062 1.000
24.000 0.998 -0.000 -0.050 0.025 5.560 0.119 0.032 1.000
196.000 0.998 0.009 -0.062 0.004 1.500 -0.001 -0.180 1.000
34.000 0.999 0.022 -0.030 0.036 5.316 0.261 -0.207 1.000
208.000 0.995 0.012 -0.096 0.005 1.221 0.005 -0.089 1.000
25.000 0.998 -0.005 -0.061 0.021 5.533 0.077 0.147 1.000
354.000 0.981 -0.021 -0.194 -0.017 -2.158 0.123 -0.555 1.000
477.000 0.978 0.005 -0.209 -0.014 -5.018 0.185 -0.961 1.000
26.000 0.999 -0.002 -0.045 0.023 5.509 0.102 -0.034 1.000
282.000 0.991 0.003 -0.137 -0.005 -0.534 0.030 -0.199 1.000
316.000 0.993 -0.002 -0.117 0.003 -1.334 0.034 -0.207 1.000
130.000 0.996 -0.007 -0.087 0.008 3.105 -0.000 0.058 1.000
27.000 0.999 -0.004 -0.042 0.018 5.484 0.045 -0.063 1.000
36.000 0.999 0.013 -0.019 0.026 5.263 0.145 -0.325 1.000
459.000 0.981 -0.008 -0.195 -0.024 -4.619 0.281 -0.802 1.000
28.000 0.999 0.002 -0.051 0.008 5.458 -0.061 0.028 1.000
312.000 0.991 -0.005 -0.133 -0.000 -1.223 0.041 -0.242 1.000
44.000 0.999 0.024 -0.021 0.015 5.069 0.045 -0.310 1.000
36.000 0.999 0.014 -0.020 0.026 5.263 0.144 -0.321 1.000
28.000 0.999 0.002 -0.051 0.008 5.458 -0.059 0.027 1.000
419.000 0.992 0.008 -0.119 -0.036 -3.751 0.324 -0.150 1.000
390.000 0.983 -0.030 -0.182 0.013 -3.043 -0.027 -0.592 1.000
115.000 0.998 0.005 -0.060 0.018 3.459 0.069 -0.090 1.000
29.000 0.999 0.004 -0.035 0.006 5.431 -0.085 -0.143 1.000
116.000 0.998 0.010 -0.063 0.021 3.432 0.091 -0.064 1.000
262.000 0.995 0.018 -0.085 0.040 -0.070 0.011 -0.153 1.000
296.000 0.993 -0.001 -0.114 0.008 -0.871 0.016 -0.197 1.000
29.000 0.999 0.004 -0.035 0.005 5.431 -0.087 -0.143 1.000
38.000 0.999 0.012 -0.033 0.026 5.232 0.138 -0.182 1.000
241.000 0.996 0.011 -0.093 -0.006 0.407 0.003 -0.117 1.000
30.000 0.999 -0.004 -0.041 0.013 5.414 -0.010 -0.082 1.000
152.000 0.999 0.006 -0.039 -0.017 2.584 -0.119 -0.262 1.000
203.000 0.998 0.001 -0.060 0.008 1.330 0.006 -0.179 1.000
30.000 0.999 -0.005 -0.041 0.013 5.414 -0.010 -0.081 1.000
70.000 0.999 0.018 -0.005 0.026 4.440 0.140 -0.487 1.000
31.000 0.999 -0.010 -0.047 0.021 5.399 0.071 -0.023 1.000
354.000 0.981 -0.021 -0.194 -0.017 -2.158 0.123 -0.555 1.000
67.000 1.000 0.004 -0.018 0.009 4.531 -0.024 -0.369 1.000
32.000 0.999 -0.007 -0.013 0.030 5.358 0.172 -0.390 1.000
72.000 0.999 0.021 0.011 0.027 4.386 0.155 -0.623 1.000
32.000 0.999 -0.007 -0.013 0.030 5.359 0.168 -0.385 1.000
324.000 0.987 -0.004 -0.163 0.011 -1.500 0.010 -0.359 1.000
33.000 1.000 0.007 -0.003 0.030 5.326 0.189 -0.494 1.000
33.000 1.000 0.007 -0.003 0.030 5.325 0.185 -0.498 1.000
