#FRAME_ID, X, Y, Z
92.000 -3.945 0.079 0.519
0.000 -6.088 0.181 0.524
14.000 -5.757 0.169 0.534
31.000 -5.372 0.142 0.527
10.000 -5.862 0.170 0.532
177.000 -1.919 0.025 0.417
1.000 -6.062 0.176 0.529
9.000 -5.879 0.166 0.526
12.000 -5.808 0.171 0.539
309.000 1.183 -0.041 -0.081
365.000 2.479 -0.055 -0.384
11.000 -5.834 0.174 0.531
13.000 -5.781 0.170 0.534
473.000 4.882 -0.049 -1.138
15.000 -5.729 0.160 0.537
488.000 5.213 -0.038 -1.242
278.000 0.463 -0.022 0.064
16.000 -5.708 0.169 0.539
17.000 -5.693 0.166 0.537
239.000 -0.417 -0.001 0.196
18.000 -5.669 0.156 0.530
19.000 -5.644 0.160 0.531
20.000 -5.617 0.165 0.535
37.000 -5.225 0.139 0.523
37.000 -5.225 0.139 0.527
21.000 -5.595 0.156 0.525
22.000 -5.570 0.156 0.533
23.000 -5.550 0.152 0.529
447.000 4.321 -0.054 -0.949
34.000 -5.298 0.139 0.528
49.000 -4.932 0.126 0.526
332.000 1.718 -0.048 -0.185
352.000 2.173 -0.048 -0.300
429.000 3.928 -0.060 -0.813
411.000 3.516 -0.056 -0.688
24.000 -5.534 0.159 0.524
196.000 -1.466 0.018 0.364
34.000 -5.298 0.138 0.528
208.000 -1.181 0.012 0.321
25.000 -5.508 0.153 0.528
354.000 2.209 -0.053 -0.312
477.000 4.976 -0.043 -1.174
26.000 -5.483 0.150 0.529
282.000 0.568 -0.024 0.047
316.000 1.345 -0.042 -0.109
130.000 -3.068 0.047 0.482
27.000 -5.457 0.150 0.523
36.000 -5.247 0.140 0.525
459.000 4.582 -0.054 -1.030
28.000 -5.431 0.149 0.527
312.000 1.243 -0.042 -0.089
44.000 -5.050 0.127 0.521
36.000 -5.246 0.141 0.531
28.000 -5.431 0.147 0.528
419.000 3.694 -0.059 -0.740
390.000 3.053 -0.055 -0.537
115.000 -3.423 0.058 0.504
29.000 -5.406 0.153 0.522
116.000 -3.397 0.058 0.495
262.000 0.094 -0.012 0.139
296.000 0.893 -0.030 -0.006
29.000 -5.407 0.144 0.522
38.000 -5.208 0.142 0.527
241.000 -0.378 -0.004 0.190
30.000 -5.387 0.148 0.526
152.000 -2.558 0.036 0.462
203.000 -1.299 0.016 0.337
30.000 -5.387 0.148 0.525
70.000 -4.436 0.109 0.532
31.000 -5.371 0.150 0.531
354.000 2.209 -0.053 -0.312
67.000 -4.514 0.109 0.531
32.000 -5.347 0.143 0.529
72.000 -4.400 0.107 0.527
32.000 -5.348 0.147 0.524
324.000 1.535 -0.045 -0.142
33.000 -5.324 0.138 0.526
33.000 -5.323 0.142 0.530
47.000 -4.982 0.135 0.526
35.000 -5.273 0.139 0.526
209.000 -1.154 0.012 0.317
35.000 -5.273 0.138 0.527
46.000 -5.008 0.126 0.523
368.000 2.540 -0.056 -0.396
39.000 -5.183 0.139 0.518
321.000 1.459 -0.045 -0.126
40.000 -5.155 0.141 0.522
