
frame0085.png frame0078.png
0 47
1 48
2 49
3 50
5 51
8 52
9 53
10 54
11 55
12 56
13 57
14 58
16 59
17 60
18 61
20 62
21 63
22 64
24 65
25 66
26 67
30 68
31 69
37 70
45 71
49 72

frame0163.png frame0150.png
3 72
4 73
5 74
12 75
14 76
17 77
18 78
24 79
28 80
44 81

frame0057.png frame0050.png
0 36
1 37
3 38
4 39
7 40
8 41
9 42
10 43
11 44
12 45
13 46
19 47
21 48
28 49
29 50
30 51
31 52
37 53
38 54
40 55
41 56
42 57
43 58
44 59
46 60
50 61
53 62
58 63
60 64
61 65
62 66
64 67

frame0040.png frame0022.png
0 53
3 54
4 55
7 56
11 57
14 58
15 59
17 60
22 61

frame0065.png frame0050.png
0 61
6 62
14 63
16 64
17 65
18 66
26 67

frame0036.png frame0034.png
0 5
1 6
2 7
3 8
4 9
5 10
6 11
7 12
8 13
9 14
10 15
11 16
12 17
13 18
14 19
15 20
16 21
17 22
19 23
20 24
21 25
23 26
24 27
25 28
26 29
27 30
28 31
29 32
30 33
31 34
32 35
33 36
34 37
35 38
36 39
37 40
38 41
39 42
40 43
41 44
42 45
43 46
44 47
45 48
47 49
48 50
49 51
50 52
51 53
52 54
53 55
54 56
55 57
56 58
57 59

frame0148.png frame0145.png
0 32
1 33
2 34
3 35
4 36
5 37
6 38
7 39
8 40
9 41
10 42
11 43
12 44
13 45
14 46
15 47
16 48
17 49
18 50
20 51
22 52
23 53
24 54
25 55
26 56
27 57
28 58
29 59
30 60
31 61
32 62
33 63
34 64
36 65
37 66
40 67
42 68
46 69
47 70
48 71
49 72
50 73
51 74
52 75
53 76
54 77
57 78
58 79
59 80
61 81
62 82
64 83
65 84
67 85
69 86
70 87
71 88
72 89
73 90
79 91

frame0079.png frame0076.png
0 17
1 18
2 19
3 20
4 21
5 22
6 23
8 24
9 25
10 26
11 27
12 28
14 29
16 30
17 31
18 32
19 33
20 34
21 35
22 36
23 37
24 38
25 39
26 40
27 41
28 42
29 43
30 44
31 45
32 46
33 47
34 48
35 49
36 50
37 51
39 52
40 53
41 54
42 55
43 56
44 57
45 58
46 59
48 60
49 61
51 62
52 63
53 64
54 65
55 66
56 67
57 68
58 69
59 70
60 71
62 72
63 73
64 74

frame0044.png frame0034.png
0 35
1 36
2 37
3 38
6 39
8 40
10 41
11 42
14 43
16 44
17 45
18 46
20 47
21 48
24 49
26 50
27 51
28 52
29 53
31 54
34 55
36 56
37 57
41 58
43 59

frame0048.png frame0037.png
0 48
2 49
5 50
7 51
8 52
14 53
20 54
27 55
30 56
47 57

frame0160.png frame0148.png
3 75
4 76
5 77
6 78
39 79

frame0034.png frame0008.png
15 52

frame0037.png frame0013.png
2 69
7 70
8 71
17 72
18 73

frame0024.png frame0014.png
3 50
4 51
5 52
11 53
12 54
14 55
18 56
21 57
22 58
23 59
24 60
26 61
27 62
28 63
29 64
32 65
35 66
36 67
40 68
41 69

frame0003.png frame0002.png
0 0
1 1
2 2
3 3
4 4
5 5
6 6
7 7
8 8
9 9
10 10
11 11
13 12
14 13
15 14
16 15
17 16
18 17
19 18
21 19
22 20
23 21
24 22
25 23
26 24
27 25
28 26
29 27
30 28
31 29
32 30
33 31
34 32
35 33
36 34
37 35
38 36
39 37
40 38
41 39

frame0082.png frame0066.png
1 56
4 57
5 58
8 59

frame0120.png frame0113.png
0 34
1 35
3 36
4 37
5 38
13 39
14 40
17 41
20 42
21 43
26 44
46 45

frame0028.png frame0010.png
0 55
5 56
10 57
15 58
16 59
20 60
23 61
27 62
35 63
36 64

frame0031.png frame0015.png
0 55
1 56
2 57
4 58
6 59
7 60
11 61
12 62
15 63
19 64
20 65
21 66
24 67
29 68
30 69
32 70

frame0163.png frame0159.png
0 30
3 31
4 32
5 33
6 34
7 35
8 36
9 37
10 38
11 39
12 40
13 41
14 42
15 43
17 44
18 45
19 46
20 47
21 48
22 49
23 50
24 51
25 52
27 53
28 54
29 55
30 56
31 57
38 58
39 59
40 60
43 61
44 62
45 63
46 64
48 65
49 66
50 67
51 68
52 69
55 70
56 71
58 72
60 73
62 74

frame0040.png frame0029.png
0 34
2 35
3 36
4 37
6 38
7 39
9 40
11 41
14 42
15 43
16 44
17 45
19 46
21 47
22 48
24 49
25 50
28 51
33 52
34 53
35 54
36 55
37 56
38 57
39 58

frame0072.png frame0067.png
0 28
1 29
2 30
3 31
4 32
6 33
8 34
9 35
10 36
11 37
14 38
15 39
16 40
17 41
18 42
19 43
20 44
21 45
23 46
26 47
30 48
32 49
33 50
35 51
43 52
44 53
47 54
52 55
54 56
55 57
56 58
58 59

frame0041.png frame0034.png
0 27
1 28
2 29
3 30
4 31
6 32
8 33
10 34
11 35
12 36
13 37
14 38
16 39
17 40
18 41
19 42
22 43
23 44
24 45
25 46
27 47
28 48
30 49
31 50
32 51
33 52
34 53
35 54
37 55
38 56
39 57
40 58
42 59

frame0022.png frame0012.png
0 42
4 43
6 44
8 45
9 46
10 47
11 48
12 49
13 50
15 51
16 52
17 53
21 54
23 55
28 56
29 57
30 58
32 59
35 60
36 61
38 62
40 63
41 64
42 65
43 66
45 67
47 68
48 69
52 70
53 71

frame0044.png frame0025.png
0 45
1 46
2 47
3 48
10 49
11 50
16 51
20 52
28 53
29 54
31 55
34 56
37 57

frame0172.png frame0164.png
0 52
1 53
2 54
4 55
5 56
8 57
9 58
10 59
18 60
23 61

frame0179.png frame0172.png
0 50
1 51
2 52
3 53
4 54
5 55
9 56
17 57
23 58
24 59
31 60
32 61
33 62
34 63
35 64
36 65
39 66
42 67
43 68
44 69
45 70
46 71
47 72
52 73
53 74
54 75

frame0024.png frame0021.png
0 27
1 28
2 29
3 30
4 31
5 32
7 33
8 34
9 35
11 36
12 37
14 38
17 39
18 40
19 41
20 42
21 43
22 44
23 45
24 46
26 47
27 48
28 49
29 50
31 51
32 52
34 53
35 54
36 55
37 56
38 57
39 58
40 59
41 60
42 61
43 62
45 63
47 64
51 65
53 66

frame0136.png frame0132.png
0 35
2 36
3 37
4 38
6 39
7 40
8 41
9 42
11 43
12 44
14 45
15 46
17 47
18 48
19 49
21 50
23 51
24 52
25 53
27 54
30 55
32 56
33 57
34 58
37 59
39 60
40 61
42 62
44 63
47 64
48 65
49 66
50 67
52 68
54 69
55 70
58 71
60 72
61 73
66 74
69 75
70 76
71 77
72 78
73 79
74 80

frame0067.png frame0065.png
0 14
1 15
2 16
3 17
4 18
6 19
7 20
8 21
9 22
10 23
11 24
13 25
14 26
15 27
16 28
17 29
18 30
20 31
21 32
23 33
24 34
25 35
26 36
27 37
28 38
29 39
30 40
31 41
33 42
34 43
35 44
38 45
39 46
40 47
41 48
42 49
43 50
45 51
46 52
47 53
53 54
54 55
56 56
57 57
58 58

frame0091.png frame0079.png
0 68
14 69
20 70
37 71

frame0180.png frame0174.png
0 48
2 49
6 50
7 51
8 52
10 53
12 54
14 55
15 56
16 57
17 58
18 59
19 60
22 61
25 62
26 63
27 64
28 65
29 66
30 67
35 68
36 69
37 70
38 71
39 72
44 73
46 74

frame0038.png frame0031.png
0 19
1 20
2 21
3 22
4 23
5 24
6 25
7 26
8 27
10 28
11 29
12 30
14 31
15 32
16 33
18 34
19 35
21 36
23 37
25 38
26 39
27 40
28 41
30 42
32 43
33 44
34 45
35 46
36 47
38 48
43 49
44 50
45 51
46 52
47 53
48 54
49 55

frame0117.png frame0105.png
0 65
1 66
2 67

frame0082.png frame0061.png
4 74
5 75

frame0121.png frame0110.png
0 46
1 47
2 48
10 49
11 50
17 51

frame0085.png frame0080.png
0 38
1 39
2 40
3 41
5 42
6 43
8 44
9 45
10 46
11 47
12 48
13 49
14 50
16 51
17 52
18 53
19 54
20 55
21 56
22 57
24 58
25 59
26 60
30 61
31 62
37 63
38 64
45 65
46 66
48 67
49 68
51 69
